"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"init-1","Limit","db/changelog/init/01_initial_schema_table.yaml","2026-06-16T09:35:01.577","1","EXECUTED","9:17b1e900b302d78c00659ce93ef5de27","createTable tableName=pbl_acl_class; createTable tableName=pbl_acl_entry; createTable tableName=pbl_acl_object_identity; createTable tableName=pbl_acl_sid; createTable tableName=core_cache_certificados; createTable tableName=core_clave_privada; createT...","Inicialitzar taules","","4.9.1","()","","1595301411"
"init-constraint-1","Limit","db/changelog/init/02_initial_schema_constraint.yaml","2026-06-16T09:35:01.619","2","EXECUTED","9:8ae3b4ffcc80935344e76e57da8d72c5","addForeignKeyConstraint baseTableName=pbl_acl_entry, constraintName=pbl_acl_entry_acl_fk, referencedTableName=pbl_acl_sid; addForeignKeyConstraint baseTableName=pbl_acl_entry, constraintName=pbl_acl_entry_object_fk, referencedTableName=pbl_acl_object_i...","Inicialitzar constraints","","4.9.1","()","","1595301411"
"init-index-1","Limit","db/changelog/init/03_initial_schema_index.yaml","2026-06-16T09:35:01.645","3","EXECUTED","9:fe6cbb6b428efb266d8d30a9435be1d6","createIndex indexName=cesionarios_index_organismo, tableName=core_req_cesionarios_servicios; createIndex indexName=core_servicio_index_codcert, tableName=core_servicio; createIndex indexName=core_servicio_index_emisor, tableName=core_servicio; createIn...","Inicialitzar índexs","","4.9.1","()","","1595301411"
"init-sequence-1","Limit","db/changelog/init/04_initial_schema_sequence.yaml","2026-06-16T09:35:01.653","4","EXECUTED","9:8734fffe8f0cb99ecb8dbb3e00156ebd","createSequence sequenceName=pbl_acl_class_seq; createSequence sequenceName=pbl_acl_entry_seq; createSequence sequenceName=pbl_acl_oid_seq; createSequence sequenceName=pbl_acl_sid_seq; createSequence sequenceName=hibernate_sequence; createSequence seque...","Inicialitzar seqüències","","4.9.1","()","","1595301411"
"init-trigger-1","Limit","db/changelog/init/05_initial_schema_trigger.yaml","2026-06-16T09:35:01.672","5","EXECUTED","9:d83f19199702cefb62e6d6f7c6f9ec2c","sql; sql; sql; sql; sql","Inicialitzar triggers","","4.9.1","()","","1595301411"
"lob-1","Limit","db/changelog/init/06_initial_schema_lob.yaml","2026-06-16T09:35:01.678","6","EXECUTED","9:bce4af68b6313f4986f1680d6bc24bcd","sql; sql; sql; sql; sql","Inicialitzar lobs","","4.9.1","caib","","1595301411"
"init-grant-1","Limit","db/changelog/init/07_initial_schema_grant.yaml","2026-06-16T09:35:01.703","7","EXECUTED","9:3296e1f43064ac786a1316edb467d276","sql","Inicialitzar permisos","","4.9.1","caib","","1595301411"
"init-data-scsp-1","limit","db/changelog/init/08_initial_data.yaml","2026-06-16T09:35:01.748","8","EXECUTED","9:82f1987d775055204f3e93d08e8a5707","sqlFile path=db/changelog/scripts/init/initial_data_scsp.sql","Inicialitzar dades","","4.9.1","()","","1595301411"
"update-plugin-config","Limit","db/changelog/changes/2.0.1/2_0_1_002.yaml","2026-06-16T09:38:09.117","9","EXECUTED","9:0da228549671610ea51e552cbe7ffabd","update tableName=pbl_acl_class; insert tableName=pbl_config; insert tableName=pbl_config; insert tableName=pbl_config; insert tableName=pbl_config; insert tableName=pbl_config; insert tableName=pbl_config; insert tableName=pbl_config; insert tableName=...","Actualitza el nom de la classe del plugin de dades d'usuari JDBC (repaquet plugins.caib -> plugin.usuari), afegeix les propietats del plugin LDAP de dades d'usuari i elimina les propietats obsoletes","","4.9.1","()","","1595489025"
